id,latitude,longitude,location,vehicle_number,vehicle_type,description,violation_type,offence_code,created_datetime,closed_datetime,modified_datetime,device_id,created_by_id,center_code,police_station,data_sent_to_scita,junction_name,action_taken_timestamp,data_sent_to_scita_timestamp,updated_vehicle_number,updated_vehicle_type,validation_status,validation_timestamp
FKID091206,12.9179712,77.5969233,"East End A Main Road, Dr BR Ambedkar Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",FKN00GL78091,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING"",""NO PARKING""]","[107,112,113]",2024-04-07 20:58:46+00:00,,2024-04-07 21:15:52.993118+00,FKDEV01437,FKUSR01366,25.0,Jayanagara,False,"BTP202 - East End Main Road, Jayanagar",,,,,,
FKID091209,12.9648667,77.5750117,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78092,CAR,,"[""WRONG PARKING""]",[112],2024-04-07 16:43:46+00:00,,2024-04-07 17:54:50.861848+00,FKDEV00151,FKUSR00151,28.0,City Market,False,"BTP083 - AS Char Street, Mysore Road",,,,,,
FKID091212,12.9648667,77.5750117,"Mysore Road, Sri Krishna Rajendra Market, Chickpete, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78094,PASSENGER AUTO,,"[""WRONG PARKING""]",[112],2024-04-07 16:44:46+00:00,,2024-04-07 17:54:51.451505+00,FKDEV00151,FKUSR00151,28.0,City Market,False,"BTP083 - AS Char Street, Mysore Road",,,,,,
FKID091215,12.9640893,77.576754,"Mysore Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78097,PASSENGER AUTO,,"[""WRONG PARKING""]",[112],2024-04-07 16:59:46+00:00,,2024-04-07 17:54:53.227813+00,FKDEV00151,FKUSR00151,28.0,City Market,False,BTP082 - KR Market Junction,,,,,,
FKID091216,12.9179575,77.5969296,"East End A Main Road, Dr BR Ambedkar Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",FKN00GL78098,CAR,,"[""PARKING ON FOOTPATH"",""WRONG PARKING"",""NO PARKING""]","[105,112,113]",2024-04-07 20:59:46+00:00,,2024-04-07 21:15:55.636156+00,FKDEV01437,FKUSR01366,25.0,Jayanagara,False,"BTP202 - East End Main Road, Jayanagar",,,,,,
FKID091218,12.9643954,77.5762336,"Mysore Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL60102,LGV,,"[""WRONG PARKING""]",[112],2024-04-07 16:59:46+00:00,,2024-04-07 17:54:53.858558+00,FKDEV00151,FKUSR00151,28.0,City Market,False,BTP082 - KR Market Junction,,,,,,
FKID091219,12.917863,77.5968911,"East End A Main Road, Dr BR Ambedkar Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",FKN00GL78100,CAR,,"[""WRONG PARKING"",""NO PARKING"",""PARKING ON FOOTPATH""]","[112,113,105]",2024-04-07 20:59:46+00:00,,2024-04-07 21:15:56.453568+00,FKDEV01437,FKUSR01366,25.0,Jayanagara,False,"BTP202 - East End Main Road, Jayanagar",,,,,,
FKID091227,12.917574,77.5968811,"East End A Main Road, Dr BR Ambedkar Circle, Jayanagar, Bengaluru, Karnataka. Pin-560069 (India)",FKN00GL50335,CAR,,"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD""]","[112,113,107]",2024-04-07 21:00:46+00:00,,2024-04-07 21:15:57.504036+00,FKDEV01437,FKUSR01366,25.0,Jayanagara,False,"BTP202 - East End Main Road, Jayanagar",,,,,,
FKID091290,12.9983757,77.5529319,"80 Feet Ring Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL78159,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-04-08 03:03:46+00:00,,2024-04-08 03:18:14.776526+00,FKDEV00502,FKUSR00493,19.0,Malleshwaram,False,BTP008 - Navarang Theatre,,,,,,
FKID091293,12.9983825,77.5529287,"80 Feet Ring Road, Navarang Circle, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL78162,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-04-08 03:03:46+00:00,,2024-04-08 03:18:15.431165+00,FKDEV00502,FKUSR00493,19.0,Malleshwaram,False,BTP008 - Navarang Theatre,,,,,,
FKID091308,12.9828454,77.6129104,"St John Road, Shree Circle, Sivanchetti Gardens, Bengaluru, Karnataka. Pin-560042 (India)",FKN00GL78172,CAR,,"[""NO PARKING""]",[113],2024-04-07 17:53:46+00:00,,2024-04-07 17:58:46.981965+00,FKDEV01486,FKUSR01409,14.0,Pulikeshinagar(F.Town),False,No Junction,,,,,,
FKID091314,12.9172399,77.5968506,"505, East End Main Road, Jayanagar 9th Block, J.P Nagar, Bengaluru South City Corporation, Bengaluru, Bangalore South, Bengaluru Urban, Karnataka, 560069, India",FKN00GL78177,SCOOTER,,"[""NO PARKING"",""WRONG PARKING"",""PARKING ON FOOTPATH""]","[113,112,105]",2024-04-07 21:02:46+00:00,,2024-04-07 21:15:59.240407+00,FKDEV01437,FKUSR01366,25.0,Jayanagara,False,"BTP202 - East End Main Road, Jayanagar",,,,,,
FKID091495,13.0084787,77.6955376,"MBT Road, Devasandra Junction, KR Puram, Bengaluru, Karnataka. Pin-560036 (India)",FKN00GL78319,CAR,,"[""PARKING IN A MAIN ROAD"",""WRONG PARKING""]","[107,112]",2024-04-07 21:09:46+00:00,,2024-04-07 21:16:12.573359+00,FKDEV00174,FKUSR00946,15.0,K.R. Pura,False,No Junction,,,,,,
FKID091496,12.9849653,77.5541285,"12th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL78320,SCOOTER,,"[""WRONG PARKING""]",[112],2024-04-08 00:09:46+00:00,,2024-04-08 00:11:19.810193+00,FKDEV00603,FKUSR00585,6.0,Rajajinagar,False,BTP061 - Bhashyam Circle,,,,,,
FKID091501,12.9954517,77.614039,"Lazar Road, Government Police Quarters, Frazer Town, Bengaluru, Karnataka. Pin-560005 (India)",FKN00GL78324,SCOOTER,,"[""NO PARKING""]",[113],2024-04-07 18:07:46+00:00,,2024-04-07 18:08:59.920638+00,FKDEV00564,FKUSR00552,14.0,Pulikeshinagar(F.Town),False,No Junction,,,,,,
FKID091503,12.9588394,77.577688,"Tippu Sultan Palace Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78326,SCOOTER,,"[""WRONG PARKING""]",[112],2024-04-07 20:57:46+00:00,,2024-04-07 21:16:17.899533+00,FKDEV00703,FKUSR00677,28.0,City Market,False,BTP118 - Basappa Circle,,,,,,
FKID091508,12.9774307,77.5707538,"Rao Bahadur DGT Road, Majestic Circle, Majestic, Bengaluru, Karnataka. Pin-560023 (India)",FKN00GL78331,PASSENGER AUTO,,"[""NO PARKING""]",[113],2024-04-07 21:05:46+00:00,,2024-04-07 21:16:18.00969+00,FKDEV01721,FKUSR01615,27.0,Chamarajpet,False,BTP048 - Shanthala Junction,,,,,,
FKID091610,12.9547445,77.5854793,"Lalbagh Main Road, Javaraiah Circle, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",FKN00GL78420,CAR,,"[""NO PARKING""]",[113],2024-04-07 22:00:46+00:00,,2024-04-07 22:15:52.431884+00,FKDEV00329,FKUSR00328,28.0,City Market,False,BTP120 - Lalbagh Main Gate Junction,,,,,,
FKID091617,12.9727572,77.6197267,"Trinity Circle, Bhaskaran Road, Someshwarpura, Halasuru, Bengaluru Central City Corporation, Bengaluru, Bangalore North, Bengaluru Urban, Karnataka, 560042, India",FKN00GL78426,PASSENGER AUTO,,"[""NO PARKING"",""WRONG PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]","[113,112,107,104,108,111]",2024-04-07 23:10:46+00:00,,2024-04-07 23:23:22.522648+00,FKDEV01218,FKUSR01165,17.0,Halasur,False,No Junction,,,,,,
FKID091622,12.9855272,77.554218,"12th Main Road, Bescom Employees House Building Cooperative Society, Rajaji Nagar, Bengaluru, Karnataka. Pin-560010 (India)",FKN00GL78431,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-04-08 00:06:46+00:00,,2024-04-08 00:12:06.230884+00,FKDEV00603,FKUSR00585,6.0,Rajajinagar,False,BTP061 - Bhashyam Circle,,,,,,
FKID091636,12.972979,77.6202384,"Murphy Road, Ramaiah Circle, Halasuru, Bengaluru, Karnataka. Pin-560007 (India)",FKN00GL78443,CAR,,"[""WRONG PARKING"",""NO PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING""]","[112,113,111,107,104]",2024-04-07 23:11:46+00:00,,2024-04-07 23:23:23.36488+00,FKDEV01218,FKUSR01165,17.0,Halasur,False,No Junction,,,,,,
FKID091637,12.9757748,77.5762537,"6th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL78444,SCOOTER,,"[""WRONG PARKING""]",[112],2024-04-08 00:21:46+00:00,,2024-04-08 01:14:38.065087+00,FKDEV00267,FKUSR00266,3.0,Upparpet,False,BTP040 - Elite Junction,,,,,,
FKID091645,12.9592555,77.5776046,"Kalasipalyam Main Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78452,PASSENGER AUTO,,"[""WRONG PARKING""]",[112],2024-04-07 20:58:46+00:00,,2024-04-07 21:17:28.375338+00,FKDEV00703,FKUSR00677,28.0,City Market,False,BTP118 - Basappa Circle,,,,,,
FKID091755,12.9772467,77.5765033,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL78542,SCOOTER,,"[""WRONG PARKING""]",[112],2024-04-08 00:43:46+00:00,,2024-04-08 01:15:14.633309+00,FKDEV00267,FKUSR00266,3.0,Upparpet,False,BTP040 - Elite Junction,,,,,,
FKID091760,13.0115817,77.5513983,,FKN00GL78543,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-04-08 00:46:46+00:00,,2024-04-08 03:07:00.020379+00,FKDEV00558,FKUSR00546,19.0,Malleshwaram,False,No Junction,,,,,,
FKID091769,12.9745845,77.6200738,"Murphy Road, Begum Mahal Junction, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",FKN00GL78550,MAXI-CAB,,"[""NO PARKING"",""WRONG PARKING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE""]","[113,112,111,107,104,108]",2024-04-07 23:14:46+00:00,,2024-04-07 23:23:25.457309+00,FKDEV01218,FKUSR01165,17.0,Halasur,False,No Junction,,,,,,
FKID091770,12.9757748,77.5762537,"6th Main Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL78551,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-04-08 01:08:46+00:00,,2024-04-08 01:15:15.828269+00,FKDEV00267,FKUSR00266,3.0,Upparpet,False,BTP040 - Elite Junction,,,,,,
FKID091774,12.9748154,77.620192,"Murphy Road, Begum Mahal Junction, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",FKN00GL33683,CAR,,"[""NO PARKING"",""WRONG PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""PARKING NEAR ROAD CROSSING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]","[113,112,108,104,107,111]",2024-04-07 23:14:46+00:00,,2024-04-07 23:23:26.42294+00,FKDEV01218,FKUSR01165,17.0,Halasur,False,No Junction,,,,,,
FKID091775,12.9772467,77.5765033,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL6006,SCOOTER,,"[""WRONG PARKING""]",[112],2024-04-08 01:09:46+00:00,,2024-04-08 01:15:17.088927+00,FKDEV00267,FKUSR00266,3.0,Upparpet,False,BTP040 - Elite Junction,,,,,,
FKID091777,12.9772467,77.5765033,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL11800,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-04-08 01:11:46+00:00,,2024-04-08 01:15:18.79895+00,FKDEV00267,FKUSR00266,3.0,Upparpet,False,BTP040 - Elite Junction,,,,,,
FKID091778,12.9754411,77.5756532,"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL78556,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-04-08 02:13:46+00:00,,2024-04-08 03:13:48.004641+00,FKDEV00267,FKUSR00266,3.0,Upparpet,False,BTP040 - Elite Junction,,,,,,
FKID091779,12.9772467,77.5765033,"6th Main Road, RK Puram, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL78557,SCOOTER,,"[""WRONG PARKING""]",[112],2024-04-08 01:11:46+00:00,,2024-04-08 01:15:20.224913+00,FKDEV00267,FKUSR00266,3.0,Upparpet,False,BTP040 - Elite Junction,,,,,,
FKID091781,12.9748127,77.6201934,"Murphy Road, Begum Mahal Junction, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",FKN00GL78559,CAR,,"[""WRONG PARKING"",""NO PARKING"",""PARKING OPPOSITE TO ANOTHER PARKED VEHICLE"",""DOUBLE PARKING"",""PARKING NEAR ROAD CROSSING""]","[112,113,108,109,104]",2024-04-07 23:14:46+00:00,,2024-04-07 23:23:27.362953+00,FKDEV01218,FKUSR01165,17.0,Halasur,False,No Junction,,,,,,
FKID091784,12.9592555,77.5776046,"Kalasipalyam Main Road, Kalasipalyam, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78561,SCOOTER,,"[""WRONG PARKING""]",[112],2024-04-07 20:58:46+00:00,,2024-04-07 21:17:54.620363+00,FKDEV00703,FKUSR00677,28.0,City Market,False,BTP118 - Basappa Circle,,,,,,
FKID091786,12.9747934,77.6201373,"Murphy Road, Begum Mahal Junction, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",FKN00GL78562,CAR,,"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]","[112,113,107,104,111]",2024-04-07 23:14:46+00:00,,2024-04-07 23:23:28.031968+00,FKDEV01218,FKUSR01165,17.0,Halasur,False,No Junction,,,,,,
FKID091804,12.9750272,77.6201686,"Murphy Road, Begum Mahal Junction, Halasuru, Bengaluru, Karnataka. Pin-560008 (India)",FKN00GL78579,MAXI-CAB,,"[""WRONG PARKING"",""NO PARKING"",""PARKING IN A MAIN ROAD"",""PARKING NEAR ROAD CROSSING"",""PARKING NEAR BUSTOP/SCHOOL/HOSPITAL ETC""]","[112,113,107,104,111]",2024-04-07 23:14:46+00:00,,2024-04-07 23:23:29.306833+00,FKDEV01218,FKUSR01165,17.0,Halasur,False,No Junction,,,,,,
FKID091808,12.9641854,77.5770193,"BGS Flyover, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78582,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-04-07 21:04:46+00:00,,2024-04-07 23:25:36.023591+00,FKDEV00786,FKUSR00218,28.0,City Market,False,BTP082 - KR Market Junction,,,,,,
FKID091811,12.9758817,77.558585,"6th Cross Road, Block C, KP Agrahara, Bengaluru, Karnataka. Pin-560023 (India)",FKN00GL78584,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-04-07 23:49:46+00:00,,2024-04-08 01:15:41.074806+00,FKDEV00110,FKUSR00111,29.0,Magadi Road,False,No Junction,,,,,,
FKID091825,12.9753839,77.5757387,"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL78596,SCOOTER,,"[""NO PARKING""]",[113],2024-04-08 02:15:46+00:00,,2024-04-08 03:13:50.950655+00,FKDEV00267,FKUSR00266,3.0,Upparpet,False,BTP040 - Elite Junction,,,,,,
FKID091827,12.9753315,77.5757185,"Kempegowda Road, Kempe Gowda Circle, Gandhi Nagar, Bengaluru, Karnataka. Pin-560009 (India)",FKN00GL68104,CAR,,"[""WRONG PARKING""]",[112],2024-04-08 02:15:46+00:00,,2024-04-08 03:13:52.446254+00,FKDEV00267,FKUSR00266,3.0,Upparpet,False,BTP040 - Elite Junction,,,,,,
FKID091846,12.9386328,77.5799265,"Model House Street, Cauvery Circle, Jayanagar, Bengaluru, Karnataka. Pin-560004 (India)",FKN00GL78613,CAR,,"[""NO PARKING""]",[113],2024-04-07 22:04:46+00:00,,2024-04-07 22:17:49.805698+00,FKDEV00416,FKUSR00412,7.0,Basavanagudi,False,"BTP186 - 9th Cross, 4th Main, Jayanagar",,,,,,
FKID091847,13.1839995,77.6797362,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",FKN00GL78614,MAXI-CAB,,"[""NO PARKING""]",[113],2024-04-07 21:14:46+00:00,,2024-04-07 21:18:06.094156+00,FKDEV00038,FKUSR00038,40.0,Chikkajala,False,No Junction,,,,,,
FKID091848,12.9549512,77.5855265,"Lalbagh Main Road, Javaraiah Circle, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",FKN00GL78615,PASSENGER AUTO,,"[""NO PARKING""]",[113],2024-04-07 22:16:46+00:00,,2024-04-07 22:17:34.427041+00,FKDEV00329,FKUSR00328,28.0,City Market,False,BTP192 - Urvashi Theater,,,,,,
FKID091849,12.9225102,77.622634,"Madiwala Market Street, FSL Quarters, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL78616,SCOOTER,,"[""NO PARKING""]",[113],2024-04-07 19:31:46+00:00,,2024-04-07 23:26:03.40063+00,FKDEV01914,FKUSR01783,9.0,Madiwala,False,BTP137 - Madiwala Traffic PS Junction,,,,,,
FKID091850,12.9549077,77.5856028,"Lalbagh Main Road, Javaraiah Circle, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",FKN00GL78617,CAR,,"[""NO PARKING""]",[113],2024-04-07 22:53:46+00:00,,2024-04-07 23:26:42.568696+00,FKDEV00171,FKUSR00171,32.0,Wilson Garden,False,BTP192 - Urvashi Theater,,,,,,
FKID091851,12.964413,77.5769164,"Avenue Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78618,SCOOTER,,"[""WRONG PARKING""]",[112],2024-04-07 21:04:46+00:00,,2024-04-07 23:27:04.216822+00,FKDEV00786,FKUSR00218,28.0,City Market,False,BTP082 - KR Market Junction,,,,,,
FKID091853,12.9641854,77.5770193,"BGS Flyover, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78620,MOTOR CYCLE,,"[""WRONG PARKING""]",[112],2024-04-07 21:04:46+00:00,,2024-04-07 23:26:23.420695+00,FKDEV00786,FKUSR00218,28.0,City Market,False,BTP082 - KR Market Junction,,,,,,
FKID091854,12.9541273,77.5853435,"Lalbagh Main Road, Lalbagh Main Gate Junction, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",FKN00GL78621,CAR,,"[""NO PARKING""]",[113],2024-04-07 22:53:46+00:00,,2024-04-07 23:26:38.784747+00,FKDEV00171,FKUSR00171,32.0,Wilson Garden,False,BTP120 - Lalbagh Main Gate Junction,,,,,,
FKID091855,12.9550504,77.5855885,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",FKN00GL78622,CAR,,"[""NO PARKING""]",[113],2024-04-07 22:55:46+00:00,,2024-04-07 23:26:44.709422+00,FKDEV00171,FKUSR00171,32.0,Wilson Garden,False,BTP192 - Urvashi Theater,,,,,,
FKID091856,13.184158,77.6797757,"Unnamed Road, Begur Chikkanahalli, Bengaluru, Karnataka. Pin-562149 (India)",FKN00GL78623,MAXI-CAB,,"[""NO PARKING""]",[113],2024-04-07 21:14:46+00:00,,2024-04-07 21:18:07.153592+00,FKDEV00038,FKUSR00038,40.0,Chikkajala,False,No Junction,,,,,,
FKID091857,12.9224819,77.6225111,"Madiwala Market Street, FSL Quarters, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL78624,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-04-07 19:32:46+00:00,,2024-04-07 23:26:26.60582+00,FKDEV01914,FKUSR01783,9.0,Madiwala,False,BTP137 - Madiwala Traffic PS Junction,,,,,,
FKID091858,12.9547753,77.5856347,"Lalbagh Main Road, Javaraiah Circle, Wilson Garden, Bengaluru, Karnataka. Pin-560027 (India)",FKN00GL24182,CAR,,"[""NO PARKING""]",[113],2024-04-07 22:53:46+00:00,,2024-04-07 23:26:40.131121+00,FKDEV00171,FKUSR00171,32.0,Wilson Garden,False,BTP192 - Urvashi Theater,,,,,,
FKID091859,12.9640675,77.5769441,"Narasimha Raj Wadiyar Road, City Market Circle, Bengaluru, Karnataka. Pin-560002 (India)",FKN00GL78625,SCOOTER,,"[""WRONG PARKING""]",[112],2024-04-07 21:04:46+00:00,,2024-04-07 23:26:45.491259+00,FKDEV00786,FKUSR00218,28.0,City Market,False,BTP082 - KR Market Junction,,,,,,
FKID091860,12.9550988,77.5855256,"Lalbagh Main Road, Dr Sri Shantaveera Swami Circle, Mavalli, Bengaluru, Karnataka. Pin-560004 (India)",FKN00GL78626,CAR,,"[""NO PARKING""]",[113],2024-04-07 22:55:46+00:00,,2024-04-07 23:26:45.578205+00,FKDEV00171,FKUSR00171,28.0,City Market,False,BTP192 - Urvashi Theater,,,,,,
FKID091861,12.9224671,77.6224028,"Madiwala Market Street, FSL Quarters, Koramangala, Bengaluru, Karnataka. Pin-560034 (India)",FKN00GL78627,MOTOR CYCLE,,"[""NO PARKING""]",[113],2024-04-07 19:32:46+00:00,,2024-04-07 23:27:18.447098+00,FKDEV01914,FKUSR01783,9.0,Madiwala,False,BTP137 - Madiwala Traffic PS Junction,,,,,,
FKID091862,12.9382632,77.5798608,"RV Road, Cauvery Circle, Jayanagar, Bengaluru, Karnataka. Pin-560004 (India)",FKN00GL11133,CAR,,"[""NO PARKING""]",[113],2024-04-07 22:04:46+00:00,,2024-04-07 22:18:06.218832+00,FKDEV00416,FKUSR00412,7.0,Basavanagudi,False,"BTP186 - 9th Cross, 4th Main, Jayanagar",,,,,,
